gene,chr,strand,tss,pileup,utr,transcript
ENSMUSG00000020932,11,-,102897124,697,7,ENSMUST00000067444
ENSMUSG00000020936,11,+,103028571,1227,1,ENSMUST00000021314
ENSMUSG00000020937,11,-,103101605,10,75,ENSMUST00000103077
ENSMUSG00000020946,11,-,103697676,279,18,ENSMUST00000021329
ENSMUSG00000020949,12,-,65073928,934,6,ENSMUST00000221166
ENSMUSG00000020953,12,+,51593384,37,240,ENSMUST00000085412
ENSMUSG00000020954,12,-,51691888,152,185,ENSMUST00000013130
ENSMUSG00000020956,12,-,52006486,110,1,ENSMUST00000085404
ENSMUSG00000020962,12,-,91589591,73,27,ENSMUST00000021345
ENSMUSG00000020964,12,-,91849116,457,85,ENSMUST00000167466
ENSMUSG00000020978,12,+,69296722,274,273,ENSMUST00000021362
ENSMUSG00000020982,12,-,69357140,275,31,ENSMUST00000220484
ENSMUSG00000020988,12,-,69724848,46,52,ENSMUST00000021370
ENSMUSG00000020993,12,-,59061438,627,202,ENSMUST00000217863
ENSMUSG00000020994,12,+,59066994,548,9,ENSMUST00000021381
ENSMUSG00000021000,12,+,59131486,156,59,ENSMUST00000176322
ENSMUSG00000021007,12,+,98628171,116,145,ENSMUST00000048402
ENSMUSG00000021010,12,+,53248439,67,238,ENSMUST00000101432
ENSMUSG00000021012,12,+,98747017,225,106,ENSMUST00000057000
ENSMUSG00000021013,12,+,98920593,109,77,ENSMUST00000079146
ENSMUSG00000021018,16,+,20717893,53,29,ENSMUST00000021405
ENSMUSG00000021022,12,-,55302681,94,30,ENSMUST00000021410
ENSMUSG00000021024,12,+,55398846,134,70,ENSMUST00000162711
ENSMUSG00000021025,12,-,55492585,133,59,ENSMUST00000021413
ENSMUSG00000021027,12,-,55821156,333,389,ENSMUST00000085385
ENSMUSG00000021028,12,-,56345863,57,63,ENSMUST00000218118
ENSMUSG00000021033,12,+,87147760,91,70,ENSMUST00000063117
ENSMUSG00000021036,12,-,87388253,31,82,ENSMUST00000021424
ENSMUSG00000021037,12,+,87266748,356,94,ENSMUST00000021425
ENSMUSG00000021039,12,-,87472270,156,9,ENSMUST00000021428
ENSMUSG00000021047,12,-,46819189,81,260,ENSMUST00000219886
ENSMUSG00000021048,12,+,76255430,106,74,ENSMUST00000021443
ENSMUSG00000021054,12,-,75735665,88,102,ENSMUST00000021450
ENSMUSG00000021062,12,-,76822475,368,158,ENSMUST00000021459
ENSMUSG00000021066,12,+,69907837,474,122,ENSMUST00000021466
ENSMUSG00000021067,12,-,69987060,64,58,ENSMUST00000222827
ENSMUSG00000021071,12,-,70347309,515,141,ENSMUST00000221370
ENSMUSG00000021072,12,+,70453161,221,8,ENSMUST00000021471
ENSMUSG00000021076,12,+,70937912,318,43,ENSMUST00000220582
ENSMUSG00000021087,12,-,72236676,3314,87,ENSMUST00000021497
ENSMUSG00000021094,12,-,72664783,94,22,ENSMUST00000220821
ENSMUSG00000021097,12,-,104865110,78,34,ENSMUST00000222412
ENSMUSG00000021099,12,+,72939834,3,222,ENSMUST00000021519
ENSMUSG00000021102,12,+,105032679,264,9,ENSMUST00000220494
ENSMUSG00000021109,12,+,73908008,282,282,ENSMUST00000110464
ENSMUSG00000021111,12,+,105784729,422,178,ENSMUST00000170002
ENSMUSG00000021113,12,+,73964529,120,33,ENSMUST00000021532
ENSMUSG00000021114,12,-,78861525,953,66,ENSMUST00000021536
ENSMUSG00000021120,12,-,79089627,58,8,ENSMUST00000072154
ENSMUSG00000021123,12,+,79208918,13,123,ENSMUST00000021548
ENSMUSG00000021124,12,-,79172419,637,85,ENSMUST00000162789
ENSMUSG00000021125,12,+,79130813,20,57,ENSMUST00000021550
ENSMUSG00000021127,12,-,80112993,120,118,ENSMUST00000219642
ENSMUSG00000021130,12,+,80519059,770,110,ENSMUST00000021558
ENSMUSG00000021131,12,-,80643804,380,38,ENSMUST00000218364
ENSMUSG00000021139,12,-,81532873,166,94,ENSMUST00000171459
ENSMUSG00000021140,12,+,81860232,101,140,ENSMUST00000222005
ENSMUSG00000021143,12,+,113014534,71,30,ENSMUST00000084891
ENSMUSG00000021144,12,+,113098253,118,25,ENSMUST00000156030
ENSMUSG00000021149,13,-,8996009,178,13,ENSMUST00000222098
ENSMUSG00000021171,12,+,116281254,72,89,ENSMUST00000220720
ENSMUSG00000021178,12,+,100110187,735,22,ENSMUST00000021595
ENSMUSG00000021180,12,-,100725055,50,175,ENSMUST00000043599
ENSMUSG00000021182,12,-,101028877,36,46,ENSMUST00000085096
ENSMUSG00000021188,12,-,101913121,162,293,ENSMUST00000021605
ENSMUSG00000021189,12,-,101958159,57,2,ENSMUST00000021606
ENSMUSG00000021194,12,+,102554984,726,141,ENSMUST00000021610
ENSMUSG00000021196,13,-,6648720,739,41,ENSMUST00000021614
ENSMUSG00000021198,12,+,102949272,84,282,ENSMUST00000101099
ENSMUSG00000021209,12,+,103532462,99,158,ENSMUST00000021631
ENSMUSG00000021210,13,+,4433862,8,444,ENSMUST00000128695
ENSMUSG00000021214,13,-,4150608,10,10,ENSMUST00000021635
ENSMUSG00000021215,13,-,3893533,155,148,ENSMUST00000222504
ENSMUSG00000021218,13,+,3538144,1214,155,ENSMUST00000059515
ENSMUSG00000021221,12,-,83487709,87,1,ENSMUST00000177959
ENSMUSG00000021234,12,-,84361785,61,40,ENSMUST00000065536
ENSMUSG00000021238,12,-,84450965,217,26,ENSMUST00000085192
ENSMUSG00000021240,12,-,84617373,32,53,ENSMUST00000021666
ENSMUSG00000021241,12,+,84773294,219,7,ENSMUST00000222449
ENSMUSG00000021242,12,-,84772891,238,24,ENSMUST00000021668
ENSMUSG00000021243,12,+,84970940,108,23,ENSMUST00000021669
ENSMUSG00000021244,12,+,84996368,504,122,ENSMUST00000101202
ENSMUSG00000021248,12,-,85374681,421,16,ENSMUST00000040766
ENSMUSG00000021250,12,+,85473903,197,137,ENSMUST00000021674
ENSMUSG00000021257,12,-,86726424,14,31,ENSMUST00000021682
ENSMUSG00000021259,12,+,108334397,300,49,ENSMUST00000021684
ENSMUSG00000021262,12,+,108554977,269,232,ENSMUST00000021689
ENSMUSG00000021263,12,-,108702274,26,32,ENSMUST00000021691
ENSMUSG00000021264,12,+,108792988,80,425,ENSMUST00000021692
ENSMUSG00000021265,12,-,108835847,28,162,ENSMUST00000021693
ENSMUSG00000021271,12,+,110850298,33,20,ENSMUST00000222460
ENSMUSG00000021273,14,-,63177846,313,65,ENSMUST00000223810
ENSMUSG00000021276,12,-,110889113,140,41,ENSMUST00000222457
ENSMUSG00000021279,12,-,111377469,107,198,ENSMUST00000041965
ENSMUSG00000021301,13,-,14523102,67,249,ENSMUST00000223189
ENSMUSG00000021306,13,-,13393588,116,95,ENSMUST00000223093
ENSMUSG00000021313,13,-,12106842,128,396,ENSMUST00000021750
ENSMUSG00000021314,13,+,18948373,997,60,ENSMUST00000003345
ENSMUSG00000021319,13,+,19623181,10,252,ENSMUST00000002883
ENSMUSG00000021326,13,+,21180234,40,261,ENSMUST00000223065
ENSMUSG00000021338,13,-,24280758,38,158,ENSMUST00000110398
ENSMUSG00000021339,13,-,25020304,212,60,ENSMUST00000021772
ENSMUSG00000021340,13,+,24942738,55,414,ENSMUST00000128315
ENSMUSG00000021360,13,+,40917650,19,233,ENSMUST00000225759
ENSMUSG00000021362,13,-,41110253,4,299,ENSMUST00000225271
ENSMUSG00000021364,13,-,41220382,71,25,ENSMUST00000021793
ENSMUSG00000021365,13,-,41358982,60,118,ENSMUST00000163623
ENSMUSG00000021367,13,+,42301638,27,257,ENSMUST00000021796
ENSMUSG00000021371,13,-,43560179,38,53,ENSMUST00000021800
ENSMUSG00000021374,13,-,46727952,63,12,ENSMUST00000182914
ENSMUSG00000021375,13,-,46929729,47,108,ENSMUST00000056978
ENSMUSG00000021377,13,-,47106181,83,453,ENSMUST00000135278
ENSMUSG00000021379,13,+,48261130,531,368,ENSMUST00000021810
ENSMUSG00000021385,13,+,49421277,162,109,ENSMUST00000220447
ENSMUSG00000021392,13,+,49653351,106,295,ENSMUST00000222333
ENSMUSG00000021400,13,+,32802139,55,99,ENSMUST00000021832
ENSMUSG00000021411,13,-,34652650,18,215,ENSMUST00000053459
ENSMUSG00000021413,13,+,34875576,390,78,ENSMUST00000077853
ENSMUSG00000021417,13,-,34994108,105,51,ENSMUST00000171229
ENSMUSG00000021423,13,+,37345428,144,11,ENSMUST00000021860
ENSMUSG00000021427,13,-,37994133,366,50,ENSMUST00000225246
ENSMUSG00000021431,13,+,38204956,260,17,ENSMUST00000178564
ENSMUSG00000021448,13,-,51569440,71,21,ENSMUST00000221850
ENSMUSG00000021453,13,+,51846695,145,85,ENSMUST00000021903
ENSMUSG00000021460,13,-,52929645,319,4,ENSMUST00000110031
ENSMUSG00000021468,13,-,53377352,256,3,ENSMUST00000021920
ENSMUSG00000021470,13,+,63815338,51,57,ENSMUST00000021926
ENSMUSG00000021476,13,+,64161902,565,84,ENSMUST00000021929
ENSMUSG00000021481,13,+,55105329,124,15,ENSMUST00000159147
ENSMUSG00000021482,13,-,64312702,36,18,ENSMUST00000220895
ENSMUSG00000021484,13,-,55362598,155,9,ENSMUST00000021940
ENSMUSG00000021486,13,+,55322041,1354,149,ENSMUST00000021942
ENSMUSG00000021494,13,-,55536508,102,1,ENSMUST00000021956
ENSMUSG00000021496,13,+,55727376,83,96,ENSMUST00000124968
ENSMUSG00000021497,13,+,55714738,109,40,ENSMUST00000021959
ENSMUSG00000021500,13,+,55635034,397,145,ENSMUST00000172272
ENSMUSG00000021501,13,+,55623049,189,42,ENSMUST00000021963
ENSMUSG00000021504,13,+,55600086,49,57,ENSMUST00000100764
ENSMUSG00000021508,13,-,56296331,411,158,ENSMUST00000021970
ENSMUSG00000021509,13,+,56438461,9,29,ENSMUST00000021971
ENSMUSG00000021510,13,-,67637741,60,59,ENSMUST00000012314
ENSMUSG00000021514,13,+,65278860,122,112,ENSMUST00000126879
ENSMUSG00000021518,13,+,66933415,179,93,ENSMUST00000021990
ENSMUSG00000021520,13,-,66905317,582,6,ENSMUST00000021993
ENSMUSG00000021534,13,+,68597458,91,18,ENSMUST00000222604
ENSMUSG00000021537,13,+,81783278,369,63,ENSMUST00000022009
ENSMUSG00000021548,13,+,85189470,292,66,ENSMUST00000165077
ENSMUSG00000021549,13,-,85289085,79,178,ENSMUST00000109552
ENSMUSG00000021550,13,-,58385197,32,43,ENSMUST00000022032
ENSMUSG00000021567,13,-,73847604,24,177,ENSMUST00000118096
ENSMUSG00000021576,13,-,74317260,258,53,ENSMUST00000222759
ENSMUSG00000021577,13,-,74350217,1038,9,ENSMUST00000022062
ENSMUSG00000021579,13,-,74364017,4,58,ENSMUST00000022064
ENSMUSG00000021587,13,+,75089882,108,180,ENSMUST00000022075
ENSMUSG00000021589,13,-,75943700,31,268,ENSMUST00000109606
ENSMUSG00000021591,13,+,75839923,341,46,ENSMUST00000022082
ENSMUSG00000021592,13,-,76098611,40,103,ENSMUST00000223579
ENSMUSG00000021594,13,-,69611449,18,7,ENSMUST00000220731
ENSMUSG00000021595,13,+,69612057,152,36,ENSMUST00000176485
ENSMUSG00000021596,13,+,76579617,75,144,ENSMUST00000109589
ENSMUSG00000021598,13,+,69809893,143,38,ENSMUST00000022089
ENSMUSG00000021607,13,+,73331026,271,347,ENSMUST00000222030
ENSMUSG00000021608,13,+,73467274,174,109,ENSMUST00000147566
ENSMUSG00000021610,13,+,73604048,335,190,ENSMUST00000022102
ENSMUSG00000021613,13,+,89584705,83,17,ENSMUST00000022108
ENSMUSG00000021624,13,+,102693573,13,127,ENSMUST00000022124
ENSMUSG00000021629,13,-,100833397,91,220,ENSMUST00000225922
ENSMUSG00000021643,13,+,100108088,75,135,ENSMUST00000132053
ENSMUSG00000021645,13,+,100124880,171,14,ENSMUST00000022147
ENSMUSG00000021646,13,-,100015598,77,84,ENSMUST00000022148
ENSMUSG00000021647,13,-,99900648,12,14,ENSMUST00000224142
ENSMUSG00000021660,13,-,98316968,1312,218,ENSMUST00000022163
ENSMUSG00000021669,13,+,96542759,232,405,ENSMUST00000109444
ENSMUSG00000021670,13,-,96670850,216,443,ENSMUST00000171537
ENSMUSG00000021676,13,-,95891901,193,192,ENSMUST00000068603
ENSMUSG00000021680,13,-,95444691,34,11,ENSMUST00000045583
ENSMUSG00000021681,13,-,95375313,126,255,ENSMUST00000022189
ENSMUSG00000021684,13,-,95223043,58,230,ENSMUST00000022192
ENSMUSG00000021685,13,+,94875462,19,140,ENSMUST00000184985
ENSMUSG00000021687,13,-,94285313,318,37,ENSMUST00000022197
ENSMUSG00000021690,13,-,93499733,123,427,ENSMUST00000065537
ENSMUSG00000021692,13,+,106947158,150,47,ENSMUST00000022203
ENSMUSG00000021693,13,-,107022327,309,201,ENSMUST00000117539
ENSMUSG00000021694,13,+,108158750,101,44,ENSMUST00000123182
ENSMUSG00000021700,13,-,110280124,531,106,ENSMUST00000167824
ENSMUSG00000021701,13,+,110395064,1404,113,ENSMUST00000022212
ENSMUSG00000021702,13,-,92794807,72,134,ENSMUST00000022213
ENSMUSG00000021703,13,+,92611133,168,128,ENSMUST00000049488
ENSMUSG00000021704,13,+,92844783,97,4,ENSMUST00000076169
ENSMUSG00000021708,13,-,92131820,89,164,ENSMUST00000142378
ENSMUSG00000021710,13,-,104109579,50,123,ENSMUST00000224945
ENSMUSG00000021711,13,-,104178432,189,273,ENSMUST00000141557
ENSMUSG00000021712,13,+,104178857,261,24,ENSMUST00000069187
ENSMUSG00000021715,13,-,104816924,47,196,ENSMUST00000022228
ENSMUSG00000021716,13,+,104817209,200,145,ENSMUST00000156105
ENSMUSG00000021725,13,-,117025676,33,139,ENSMUST00000223833
ENSMUSG00000021730,13,+,117602485,307,219,ENSMUST00000006991
ENSMUSG00000021731,13,-,118387235,75,1,ENSMUST00000022245
ENSMUSG00000021732,13,+,118715026,28,358,ENSMUST00000022246
ENSMUSG00000021733,14,+,14703067,234,166,ENSMUST00000224222
ENSMUSG00000021737,14,-,14120924,330,41,ENSMUST00000022256
ENSMUSG00000021743,14,-,12345636,68,451,ENSMUST00000224714
ENSMUSG00000021748,14,-,8172943,359,11,ENSMUST00000022268
ENSMUSG00000021754,13,-,111808974,21,5,ENSMUST00000109267
ENSMUSG00000021759,13,+,112800820,74,389,ENSMUST00000016144
ENSMUSG00000021760,13,-,113046379,65,4,ENSMUST00000022282
ENSMUSG00000021763,13,+,113293227,13,29,ENSMUST00000136755
ENSMUSG00000021764,13,-,114388059,731,3,ENSMUST00000225035
ENSMUSG00000021765,13,-,114459083,8,134,ENSMUST00000225068
ENSMUSG00000021770,14,+,21750571,203,36,ENSMUST00000022292
ENSMUSG00000021771,14,+,21831568,1261,308,ENSMUST00000022293
ENSMUSG00000021773,14,-,21848889,75,17,ENSMUST00000124549
ENSMUSG00000021775,14,-,18238990,148,164,ENSMUST00000090543
ENSMUSG00000021782,14,-,24245656,26,206,ENSMUST00000073687
ENSMUSG00000021785,14,+,16249325,70,42,ENSMUST00000224656
ENSMUSG00000021794,14,+,34310835,667,63,ENSMUST00000022322
ENSMUSG00000021803,14,-,37098217,11,74,ENSMUST00000022337
ENSMUSG00000021806,14,+,19751305,39,33,ENSMUST00000022340
ENSMUSG00000021807,14,-,19823803,552,74,ENSMUST00000022341
ENSMUSG00000021811,14,-,20388881,60,98,ENSMUST00000022345
ENSMUSG00000021816,14,-,20546543,581,103,ENSMUST00000161445
ENSMUSG00000021819,14,+,20707590,255,259,ENSMUST00000223840
ENSMUSG00000021820,14,-,20794029,348,64,ENSMUST00000226630
ENSMUSG00000021822,14,+,20836663,32,416,ENSMUST00000022368
ENSMUSG00000021823,14,+,20929445,196,76,ENSMUST00000022369
ENSMUSG00000021831,14,-,45318529,105,39,ENSMUST00000022378
ENSMUSG00000021832,14,+,45329844,1040,4,ENSMUST00000228300
ENSMUSG00000021852,14,-,49525868,31,255,ENSMUST00000123534
ENSMUSG00000021867,14,-,26206974,118,221,ENSMUST00000022418
ENSMUSG00000021868,14,+,25694213,156,19,ENSMUST00000022419
ENSMUSG00000021877,14,+,26638243,486,177,ENSMUST00000112318
ENSMUSG00000021884,14,-,31640931,26,53,ENSMUST00000171414
ENSMUSG00000021890,14,+,31495109,34,160,ENSMUST00000022446
ENSMUSG00000021892,14,-,31436046,280,89,ENSMUST00000140002
ENSMUSG00000021893,14,+,31336696,98,186,ENSMUST00000152182
ENSMUSG00000021895,14,+,27336061,540,116,ENSMUST00000224981
ENSMUSG00000021900,14,+,31641081,60,44,ENSMUST00000090147
ENSMUSG00000021901,14,+,31251517,199,101,ENSMUST00000188453
ENSMUSG00000021904,14,+,31217879,21,32,ENSMUST00000090180
ENSMUSG00000021905,14,-,32085592,76,75,ENSMUST00000124303
ENSMUSG00000021910,14,-,31206672,963,10,ENSMUST00000164989
ENSMUSG00000021911,14,+,32201968,130,278,ENSMUST00000163350
ENSMUSG00000021917,14,-,31001343,372,103,ENSMUST00000228736
ENSMUSG00000021918,14,+,30951464,62,162,ENSMUST00000226551
ENSMUSG00000021922,14,+,30886297,3,179,ENSMUST00000227899
ENSMUSG00000021928,14,-,61360422,71,32,ENSMUST00000022494
ENSMUSG00000021929,14,-,61439814,377,23,ENSMUST00000022496
ENSMUSG00000021930,14,-,61556724,132,98,ENSMUST00000100496
ENSMUSG00000021932,14,+,62332106,48,10,ENSMUST00000022499
ENSMUSG00000021938,14,-,56778306,143,147,ENSMUST00000163924
ENSMUSG00000021943,14,+,33923675,25,221,ENSMUST00000168727
ENSMUSG00000021945,14,+,56886602,188,51,ENSMUST00000223965
ENSMUSG00000021947,14,-,57398494,99,46,ENSMUST00000022517
ENSMUSG00000021951,14,-,57571558,118,5,ENSMUST00000022518
ENSMUSG00000021957,14,+,30549185,1233,89,ENSMUST00000022529
ENSMUSG00000021958,14,+,63860323,68,41,ENSMUST00000225644
ENSMUSG00000021963,14,+,57798231,430,311,ENSMUST00000143600
ENSMUSG00000021967,14,+,57826253,239,264,ENSMUST00000022538
ENSMUSG00000021969,14,-,57890283,95,7,ENSMUST00000225955
ENSMUSG00000021973,14,-,57999240,160,1,ENSMUST00000022543
ENSMUSG00000021982,14,-,59597927,267,91,ENSMUST00000167100
ENSMUSG00000021983,14,-,60177521,52,134,ENSMUST00000140924
ENSMUSG00000021986,14,+,60378292,71,66,ENSMUST00000225247
ENSMUSG00000021987,14,+,60265287,397,51,ENSMUST00000224366
ENSMUSG00000021991,14,-,29721790,83,23,ENSMUST00000022567
ENSMUSG00000021996,14,+,74732364,178,126,ENSMUST00000176957
ENSMUSG00000022008,14,-,76110777,116,73,ENSMUST00000022585
ENSMUSG00000022009,14,+,76110920,102,13,ENSMUST00000022586
ENSMUSG00000022010,14,+,76504530,1425,187,ENSMUST00000022587
ENSMUSG00000022013,14,-,77874903,333,4,ENSMUST00000022590
ENSMUSG00000022018,14,-,79301614,294,117,ENSMUST00000022595
ENSMUSG00000022019,14,+,87416651,80,157,ENSMUST00000168275
ENSMUSG00000022020,14,-,79390674,33,59,ENSMUST00000022597
ENSMUSG00000022024,14,+,79587776,339,53,ENSMUST00000054908
ENSMUSG00000022025,14,-,79662126,17,115,ENSMUST00000165835
ENSMUSG00000022031,14,-,65593037,261,37,ENSMUST00000022609
ENSMUSG00000022034,14,-,65833158,2,430,ENSMUST00000225853
ENSMUSG00000022035,14,+,65837379,237,78,ENSMUST00000022614
ENSMUSG00000022040,14,-,66124463,73,28,ENSMUST00000070515
ENSMUSG00000022048,14,-,66868617,1105,249,ENSMUST00000022629
ENSMUSG00000022051,14,-,67008834,655,50,ENSMUST00000111115
ENSMUSG00000022052,14,-,67072422,248,326,ENSMUST00000225380
ENSMUSG00000022054,14,-,68124832,602,19,ENSMUST00000022638
ENSMUSG00000022055,14,+,68083866,2422,97,ENSMUST00000022639
ENSMUSG00000022089,14,+,70100152,58,37,ENSMUST00000228717
ENSMUSG00000022090,14,-,70168016,15,265,ENSMUST00000129174
ENSMUSG00000022091,14,-,70203417,44,56,ENSMUST00000227653
ENSMUSG00000022092,14,-,70289432,98,203,ENSMUST00000228911
ENSMUSG00000022095,14,-,70599819,77,33,ENSMUST00000022690
ENSMUSG00000022100,14,-,70766601,195,72,ENSMUST00000167242
ENSMUSG00000022105,14,-,73325647,97,6,ENSMUST00000164624
ENSMUSG00000022108,14,-,73385257,3818,131,ENSMUST00000022704
ENSMUSG00000022109,14,+,73510044,178,17,ENSMUST00000022705
ENSMUSG00000022110,14,+,73552805,452,3,ENSMUST00000022706
ENSMUSG00000022111,14,+,101654021,240,43,ENSMUST00000002289
ENSMUSG00000022112,14,+,115092275,316,132,ENSMUST00000176912
ENSMUSG00000022119,14,-,105177297,198,445,ENSMUST00000163499
ENSMUSG00000022120,14,-,104522643,29,31,ENSMUST00000228210
ENSMUSG00000022122,14,-,103843688,119,212,ENSMUST00000022718
ENSMUSG00000022125,14,+,103070326,28,20,ENSMUST00000022721
ENSMUSG00000022130,14,-,118132731,105,2,ENSMUST00000228543
ENSMUSG00000022131,14,+,118137158,74,35,ENSMUST00000022728
ENSMUSG00000022132,14,+,118854981,409,9,ENSMUST00000100314
ENSMUSG00000022136,14,+,118937979,263,110,ENSMUST00000022734
ENSMUSG00000022142,15,+,8109350,63,96,ENSMUST00000163765
ENSMUSG00000022144,15,+,7810803,15,251,ENSMUST00000022744
ENSMUSG00000022159,14,-,52279250,73,9,ENSMUST00000167116
ENSMUSG00000022160,14,-,52305098,111,111,ENSMUST00000174853
ENSMUSG00000022174,14,-,54253870,1376,28,ENSMUST00000128231
ENSMUSG00000022175,14,+,54464182,201,393,ENSMUST00000022782
ENSMUSG00000022176,14,+,54476230,60,42,ENSMUST00000164697
ENSMUSG00000022181,15,+,4731269,8,391,ENSMUST00000161997
ENSMUSG00000022184,15,-,3979521,9,97,ENSMUST00000022791
ENSMUSG00000022186,15,+,4026757,567,15,ENSMUST00000110690
ENSMUSG00000022193,14,-,54617993,413,2,ENSMUST00000022803
ENSMUSG00000022195,15,-,12824622,79,75,ENSMUST00000057256
ENSMUSG00000022200,15,+,12321485,169,247,ENSMUST00000059680
ENSMUSG00000022201,15,+,12117844,402,67,ENSMUST00000128475
ENSMUSG00000022204,14,+,55015575,58,2,ENSMUST00000022815
ENSMUSG00000022206,15,-,11906091,22,452,ENSMUST00000066529
ENSMUSG00000022211,14,+,55491121,75,123,ENSMUST00000228877
ENSMUSG00000022216,14,+,55578475,205,100,ENSMUST00000089619
ENSMUSG00000022217,14,-,55585276,59,167,ENSMUST00000022828
ENSMUSG00000022219,14,-,55758444,35,152,ENSMUST00000001497
ENSMUSG00000022220,14,-,55784022,16,344,ENSMUST00000227031
ENSMUSG00000022234,15,-,31601740,650,35,ENSMUST00000022842
ENSMUSG00000022237,15,-,31367548,140,156,ENSMUST00000044324
ENSMUSG00000022241,15,-,11399608,160,69,ENSMUST00000022849
ENSMUSG00000022244,15,+,10981775,39,35,ENSMUST00000070877
ENSMUSG00000022247,15,-,10485895,134,2,ENSMUST00000022855
ENSMUSG00000022248,15,+,10486071,51,448,ENSMUST00000022856
ENSMUSG00000022255,15,+,34082724,93,312,ENSMUST00000022865
ENSMUSG00000022257,15,+,34238166,524,158,ENSMUST00000022867
ENSMUSG00000022261,15,+,32920823,183,423,ENSMUST00000022871
ENSMUSG00000022263,15,-,27788341,154,155,ENSMUST00000226287
ENSMUSG00000022265,15,+,27466693,141,311,ENSMUST00000022875
ENSMUSG00000022269,15,+,26309076,33,186,ENSMUST00000126304
ENSMUSG00000022270,15,+,25843328,80,16,ENSMUST00000022881
ENSMUSG00000022283,15,-,36608955,1702,449,ENSMUST00000226496
ENSMUSG00000022299,15,-,39112652,30,151,ENSMUST00000228160
ENSMUSG00000022300,15,+,39112909,160,73,ENSMUST00000022909
ENSMUSG00000022303,15,+,39753992,9,205,ENSMUST00000228701
ENSMUSG00000022305,15,-,39943689,53,7,ENSMUST00000110305
ENSMUSG00000022306,15,+,40655050,216,494,ENSMUST00000053467
ENSMUSG00000022307,15,+,41447472,336,10,ENSMUST00000230126
ENSMUSG00000022309,15,-,42676797,25,336,ENSMUST00000022921
ENSMUSG00000022311,15,-,48791976,764,72,ENSMUST00000162830
ENSMUSG00000022312,15,-,51865459,314,2,ENSMUST00000022925
ENSMUSG00000022313,15,+,51877493,21,30,ENSMUST00000137116
ENSMUSG00000022321,15,+,18818726,103,221,ENSMUST00000176801
ENSMUSG00000022323,15,-,34495185,266,68,ENSMUST00000022946
ENSMUSG00000022329,15,-,35155773,57,221,ENSMUST00000018476
ENSMUSG00000022332,15,+,68928456,643,290,ENSMUST00000230847
ENSMUSG00000022335,15,-,68258843,46,157,ENSMUST00000162054
ENSMUSG00000022336,15,-,43282700,649,8,ENSMUST00000022960
ENSMUSG00000022337,15,+,43477266,548,20,ENSMUST00000022962
ENSMUSG00000022338,15,+,44428123,423,114,ENSMUST00000226336
ENSMUSG00000022342,15,-,45114671,42,31,ENSMUST00000022967
ENSMUSG00000022346,15,+,61985573,24,349,ENSMUST00000191178
ENSMUSG00000022351,15,+,59315074,148,3,ENSMUST00000161953
ENSMUSG00000022353,15,-,59082055,56,50,ENSMUST00000227238
ENSMUSG00000022354,15,+,58933821,951,17,ENSMUST00000022980
ENSMUSG00000022358,15,-,58214838,22,227,ENSMUST00000022986
ENSMUSG00000022359,15,+,58141411,50,82,ENSMUST00000226889
ENSMUSG00000022360,15,-,58135060,32,86,ENSMUST00000038194
ENSMUSG00000022365,15,-,57892442,163,147,ENSMUST00000022993
ENSMUSG00000022369,15,+,55557602,11,18,ENSMUST00000022998
ENSMUSG00000022370,15,-,55557293,68,9,ENSMUST00000164542
ENSMUSG00000022375,15,-,66500844,45,60,ENSMUST00000023006
ENSMUSG00000022377,15,-,64312648,205,174,ENSMUST00000177371
ENSMUSG00000022382,15,-,85577873,39,283,ENSMUST00000229191
ENSMUSG00000022386,15,+,85879358,81,19,ENSMUST00000023019
ENSMUSG00000022389,15,+,81811488,769,82,ENSMUST00000023024
ENSMUSG00000022394,15,+,81663950,110,51,ENSMUST00000172748
ENSMUSG00000022400,15,+,81466364,304,9,ENSMUST00000023036
ENSMUSG00000022401,15,+,81400171,79,53,ENSMUST00000041609
ENSMUSG00000022403,15,-,81399669,295,75,ENSMUST00000023039
ENSMUSG00000022404,15,-,81360762,156,32,ENSMUST00000023040
ENSMUSG00000022414,15,+,80133154,77,2,ENSMUST00000023050
ENSMUSG00000022415,15,+,80091381,399,13,ENSMUST00000009728
ENSMUSG00000022419,15,+,55112483,13,15,ENSMUST00000100660
ENSMUSG00000022421,15,-,79804707,1681,124,ENSMUST00000023057
ENSMUSG00000022425,15,-,54920012,3805,51,ENSMUST00000167541
ENSMUSG00000022427,15,+,79670888,412,4,ENSMUST00000229502
ENSMUSG00000022432,15,-,85131952,6,15,ENSMUST00000023068
ENSMUSG00000022436,15,+,78899813,59,90,ENSMUST00000001226
ENSMUSG00000022437,15,+,84192254,221,110,ENSMUST00000023071
ENSMUSG00000022440,15,-,78529608,18,85,ENSMUST00000023075
ENSMUSG00000022449,15,-,94404292,52,203,ENSMUST00000155907
ENSMUSG00000022451,15,-,94589811,123,35,ENSMUST00000023087
ENSMUSG00000022452,15,+,82346068,322,16,ENSMUST00000161892
ENSMUSG00000022454,15,-,95528149,491,285,ENSMUST00000166170
ENSMUSG00000022463,15,+,82147268,681,135,ENSMUST00000229336
ENSMUSG00000022468,15,-,97731377,23,108,ENSMUST00000100249
ENSMUSG00000022469,15,-,97767521,39,121,ENSMUST00000126854
ENSMUSG00000022472,15,-,82016146,540,181,ENSMUST00000146628
ENSMUSG00000022474,15,-,81960850,523,49,ENSMUST00000230229
ENSMUSG00000022475,15,-,97831470,123,93,ENSMUST00000156045
